Iocode,event,medal,medalist
HUN,Weightlifting at the 1972 Summer Olympics - Men's Flyweight  -52 kg,2,Lajos Szucs
JPN,Swimming at the 1972 Summer Olympics - Men's 100 metre breaststroke,1,Nobutaka Taguchi
ITA,Skeleton at the 1948 Winter Olympics - Men's Skeleton,1,Nino Bibbia
JPN,Wrestling at the 2008 Summer Olympics - Men's Freestyle Bantamweight,2,Tomohiro Matsunaga
FIN,Athletics at the 1920 Summer Olympics - Men's Individual Cross Country,3,Heikki Liimatainen
USA,Speed skating at the 1952 Winter Olympics - Men's 500m,2,Don McDermott
FRA,Weightlifting at the 1932 Summer Olympics - Men's Light Heavyweight 75-82.5 kg,1,Louis Hostin
GER,Wrestling at the 1932 Summer Olympics - Greco-Roman Bantamweight,1,Jakob Brendel
AUS,Rowing at the 1952 Summer Olympics - Men's Single Sculls,2,Mervyn Wood
AUT,Alpine skiing at the 1952 Winter Olympics - Men's giant slalom,2,Christian Pravda
ITA,Cross Country Skiing at the 1994 Winter Olympics - Women's 30km,1,Manuela Di Centa
KOR,Archery at the 1984 Summer Oympics - Women's Individual,3,Kim Jin-Ho
URS,Gymnastics at the 1956 Summer Olympics – Men's horizontal bar,2,Yuri Titov
USA,Gymnastics at the 1932 Summer Olympics - Men's tumbling,1,Rowland Wolfe
NOR,Alpine skiing at the 2002 Winter Olympics – Men's combined,1,Kjetil André Aamodt
JPN,Athletics at the 1936 Summer Olympics – Men's triple jump,2,Masao Harada
USA,Swimming at the 1928 Summer Olympics - Men's 100 metre freestyle,1,Johnny Weissmuller
SWE,Cross-Country Skiing at the 1964 Winter Olympics - Men's 15km,3,Sixten Jernberg
AUS,Athletics at the 1924 Summer Olympics - Men's triple jump,1,Nick Winter
NOR,Ski Jumping at the 1964 Winter Olympics - Large Hill,1,Toralf Engan
GER,Athletics at the 1928 Summer Olympics - Men's 400 metres,3,Joachim Büchner
USA,Gymnastics at the 1932 Summer Olympics - Men's rings,1,George Gulack
GER,Fencing at the 1928 Summer Olympics - Men's Foil; Individual,2,Erwin Casmir
USA,Athletics at the 1952 Summer Olympics - Men's Javelin Throw,1,Cyrus Young
FRA,Athletics at the 1900 Summer Olympics - Men's 2500 metre steeplechase,3,Jacques Chastanié
USA,Swimming at the 1968 Summer Olympics - Women's 400 metre freestyle,1,Debbie Meyer
USA,Gymnastics at the 1932 Summer Olympics - Men's pommel horse,3,Frank Otto Haubold
GER,Gymnastics at the 1996 Summer Olympics – Men's Horizontal Bar,1,Andreas Wecker
GBR,Athletics at the 1908 Summer Olympics - Men's 10 mile walk,1,George Larner
WGE,Alpine Skiing at the 1976 Winter Olympics - Women's Downhill,1,Rosi Mittermaier
USA,Swimming at the 2008 Summer Olympics - Men's 100 metre backstroke,2,Matt Grevers
NED,Speed Skating at the 1972 Winter Olympics - Men's 5000m,1,Ard Schenk
URS,Cross-Country Skiing at the 1972 Winter Olympics - Men's 50km,3,Vyacheslav Vedenin
SUI,Alpine Skiing at the 2006 Winter Olympics - Men's Super-G,3,Ambrosi Hoffmann
USA,Swimming at the 1924 Summer Olympics - Women's 100 metre freestyle,1,Ethel Lackie
GBR,Athletics at the 1912 Summer Olympics - Men's 10 kilometre walk,2,Ernest Webb
USA,Swimming at the 1964 Summer Olympics – Men's 200 metre backstroke,3,Robert Bennett
BEL,Fencing at the 1912 Summer Olympics - Men's Épée; Individual,1,Paul Anspach
GER,Gymnastics at the 1936 Summer Olympics - Men's artistic individual all-around,3,Konrad Frey
GER,Shooting at the 1912 Summer Olympics - Trap,2,Alfred Goeldel
SWE,Diving at the 1972 Summer Olympics - Women's 10 metre platform,1,Ulrika Knape
FRA,Cycling at the 1956 Summer Olympics - Men's individual road race,2,Arnaud Geyre
ITA,Weightlifting at the 1932 Summer Olympics - Men's Lightweight 60-67.5 kg,3,Gastone Pierini
USA,Athletics at the 1960 Summer Olympics - Men's discus throw,3,Richard Lee Cochran
ARG,Athletics at the 1948 Summer Olympics – Women's long jump,2,Noëmi de Portela
USA,Athletics at the 1932 Summer Olympics – Men's 100 metres,2,Ralph Metcalfe
BEL,Athletics at the 1972 Summer Olympics - Men's 10000 metres,2,Emiel Puttemans
URS,Athletics at the 1960 Summer Olympics - Women's shot put,1,Tamara Press
URS,Gymnastics at the 1960 Summer Olympics – Women's floor,1,Larissa Latynina
GDR,Swimming at the 1988 Summer Olympics – Women's 200 metre butterfly,1,Kathleen Nord
USA,Athletics at the 1992 Summer Olympics - Men's 400 metres,2,Steve Lewis
CAN,Athletics at the 1908 Summer Olympics - Men's triple jump,2,John Garfield MacDonald
FIN,Wrestling at the 1908 Summer Olympics - Greco-Roman light heavyweight,1,Verner Weckman
NED,Swimming at the 1932 Summer Olympics - Women's 100 metre freestyle,2,Willy den Ouden
GBR,Weightlifting at the 1896 Summer Olympics - Men's one hand lift,1,Launceston Elliot
HUN,Swimming at the 1980 Summer Olympics - Men's 400 metre individual medley,3,Zoltán Verrasztó
USA,Diving at the 1988 Summer Olympics - Men's 10 metre platform,1,Greg Louganis
KOR,Archery at the 2008 Summer Olympics - Men's individual,2,Park Kyung-mo
NED,Equestrian at the 2008 Summer Olympics - Team dressage,2,Hans Peter Minderhoud;Imke Bartels
,Athletics at the 2008 Summer Olympics - Men's high jump,,Raul Spank
,Football at the 2008 Summer Olympics - Women's tournament,,Hedvig Lindahl
,Taekwondo at the 2008 Summer Olympics - Men's 58 kg,,Dickson Wamwiri
,Athletics at the 2008 Summer Olympics - Women's 400 metres,,Amantle Montsho
AUS,Freestyle skiing at the 2010 Winter Olympics – Men's moguls,2,Dale Begg-Smith
USA,Short track speed skating at the 2010 Winter Olympics – Men's 1000 metres,3,Apolo Anton Ohno
RUS,Cross-country skiing at the 2010 Winter Olympics – Women's team sprint,3,Natalia Korosteleva;Irina Khazova
NED,Speed skating at the 2010 Winter Olympics – Men's team pursuit,3,Sven Kramer;Mark Tuitert;Simon Kuipers;Jan Blokhuijsen
VEN,Volleyball at the 2008 Summer Olympics - Men's volleyball,,
USA,Luge at the 1998 Winter Olympics - Men's Doubles,3,Brian Martin;Mark Grimmette
NOR,Cross-country skiing at the 2006 Winter Olympics - Team sprint classical,2,Tor Arne Hetland;Jens Arne Svartedal
FRA,Cycling at the 1956 Summer Olympics - Men's team pursuit,2,Jean Graczyk
NOR,Volleyball at the 2004 Summer Olympics - Men's Beach Volleyball,,Jørre Kjemperud;Vegard Høidalen
,Athletics at the 2004 Summer Olympics - Women's 1;500 metres,,Kutre Dulecha
ITA,Luge at the 2002 Winter Olympics – Men's singles,1,Armin Zöggeler
RUS,Volleyball at the 1996 Summer Olympics - Men's volleyball,,Oleg Chatounov;Pavel Chichkin;Igor Chulepov;Sergey Tetyukhin;Stanislav Dineikine;Vadim Khamuttskikh;Ruslan Olikhver;Alexei Kazakov;Valery Goryuchev;Dmitry Fomin;Konstantin Ushakov;Sergey Orlenko
RUS,Biathlon at the 2006 Winter Olympics – Men's relay,2,Ivan Tcherezov;Pavel Rostovtsev;Nikolay Kruglov; Jr.;Sergei Tchepikov
CAN,Volleyball at the 2000 Summer Olympics - Men's beach volleyball,,Jody Holden;Conrad Leinemann
CHN,Archery at the 2008 Summer Olympics - Women's team,2,Zhang Juanjuan;Chen Ling;Guo Dan
JAM,Athletics at the 2008 Summer Olympics - Women's 400 metres,2,Shericka Williams
FRA,Fencing at the 2008 Summer Olympics - Men's team sabre,1,Boris Sanson;Nicolas Lopez;Julien Pillet
FIN,Rowing at the 2008 Summer Olympics - Women's lightweight double sculls,2,Minna Nieminen;Sanna Sten
GBR,Cycling at the 2008 Summer Olympics - Men's team sprint,1,Chris Hoy;Jason Kenny;Jamie Staff
UKR,Wrestling at the 2008 Summer Olympics - Women's Freestyle Flyweight,3,Irini Merleni
CHN,Badminton at the 2008 Summer Olympics - Men's singles,1,Lin Dan
CZE,Athletics at the 2004 Summer Olympics - Men's Decathlon,1,Roman Šebrle
USA,Swimming at the 2004 Summer Olympics - Women's 4 x 100 metre freestyle relay,2,Colleen Lanne;Natalie Coughlin;Jenny Thompson;Kara Lynn Joyce;Maritza Correia;Amanda Weir;Lindsay Benko
AUS,Athletics at the 2008 Summer Olympics - Men's 20 km walk,3,Jared Tallent
USA,Cycling at the 1912 Summer Olympics - Men's individual time trial,,Joseph Kopsky
SWE,Modern Pentathlon  at the 1952 Summer Olympics - Men's Individual,1,Lars Hall
JAM,Athletics at the 2008 Summer Olympics - Women's 100 metres,1,Shelly-Ann Fraser
USA,Swimming at the 1996 Summer Olympics - Men's 200 metre backstroke,1,Brad Bridgewater
USA,Speed Skating at the 1976 Winter Olympics - Men's 1000m,1,Peter Mueller
CAN,Sailing at the 1988 Summer Olympics - Finn class,,Lawrence Lemieux
LIE,Alpine Skiing at the 1980 Winter Olympics - Men's Giant Slalom,2,Andreas Wenzel
URS,Weightlifting at the 1976 Summer Olympics - Men's Featherweight 56-60 kg,1,Nikolay Kolesnikov
TUR,Taekwondo at the 2008 Summer Olympics - Men's 68 kg,3,Servet Tazegül
CAN,Alpine Skiing at the 1956 Winter Olympics - Women's Downhill,3,Lucille Wheeler
RUS,Swimming at the 1996 Summer Olympics - Men's 50 metre freestyle,1,Alexander Vladimirovich Popov
NOR,Speed Skating at the 1956 Winter Olympics - Men's 10000m,2,Knut Johannesen
USA,Gymnastics at the 1992 Summer Olympics – Women's Uneven Bars,3,Shannon Miller
ITA,Taekwondo at the 2008 Summer Olympics - Men's 80 kg,2,Mauro Sarmiento
GER,Canoeing at the 1996 Summer Olympics - Men's slalom K-1,3,Thomas Becker
ROU,Boxing at the 1976 Summer Olympics - Middleweight,3,Alec Nastac
HUN,Swimming at the 1988 Summer Olympics - Women's 100 metre backstroke,2,Krisztina Egerszegi
AUT,Wrestling at the 1932 Summer Olympics - Men's Freestyle Heavyweight,3,Nikolaus Hirschl
FRA,Cycling at the 1976 Summer Olympics - Men's sprint,2,Daniel Morelon
GER,Ski Jumping at the 1994 Winter Olympics - Normal Hill,3,Dieter Thoma
KOR,Weightlifting at the 2008 Summer Olympics - Women's +75 kg,1,Jang Mi-Ran
URS,Wrestling at the 1976 Summer Olympics - Men's Greco-Roman Light Flyweight,1,Aleksei Shumakov
IRI,Wrestling at the 1952 Summer Olympics - Freestyle Welterweight,3,Abdollah Modjtabavi
ROU,Gymnastics at the 1996 Summer Olympics – Women's floor,2,Simona Amânar
USA,Diving at the 1932 Summer Olympics - Women's 10 metre platform,2,Georgia Coleman
SWE,Cross Country Skiing at the 1992 Winter Olympics - Men's 10km,3,Christer Majbäck
FIN,Cross-Country Skiing at the 1998 Winter Olympics - Men's 30km,1,Mika Myllylä
FIN,Ski jumping at the 2002 Winter Olympics - Large Hill,3,Matti Hautamäki
UTA,Athletics at the 1992 Summer Olympics - Women's Long Jump,2,Inessa Kravets
SUI,Alpine Skiing at the 1998 Winter Olympics – Men’s Super G,2,Didier Cuche
URS,Speed Skating at the 1964 Winter Olympics - Women's 500m,2,Irina Egorova
NED,Speed Skating at the 1988 Winter Olympics - Men's 5000m,2,Leo Visser
NED,Speed Skating at the 1980 Winter Olympics - Women's 1500m,2,Ria Visser
IRL,Boxing at the 1992 Summer Olympics - Bantamweight,2,Wayne McCullough
URS,Cross-Country Skiing at the 1988 Winter Olympics - Men's 30km,1,Alexey Prokourorov
NOR,Cross-Country Skiing at the 1928 Winter Olympics - Men's 18 km,2,Ole Hegge
ITA,Luge at the 1980 Winter Olympics - Men's Singles,2,Paul Hildgartner
USA,Athletics at the 1904 Summer Olympics - Men's 400 metre hurdles,1,Harry Hillman
TUN,Athletics at the 1968 Summer Olympics - Men's 10000 metres,3,Mohammed Gammoudi
USA,Athletics at the 1932 Summer Olympics – Men's 100 metres,1,Eddie Tolan
WGE,Cycling at the 1988 Summer Olympics - Men's individual road race,2,Bernd Gröne
URS,Speed Skating at the 1964 Winter Olympics - Men's 500m,2,Vladimir Orlov
SWE,Cross-Country Skiing at the 1998 Winter Olympics - Men's 50km Freestyle,2,Niklas Jonsson
GBR,Swimming at the 1908 Summer Olympics - Men's 200 metre breaststroke,2,William Robinson
SWE,Boxing at the 1932 Summer Olympics - Men's lightweight,2,Thure Ahlqvist
SWE,Wrestling at the 1932 Summer Olympics - Men's Freestyle Lightweight,3,Gustaf Klarén
FIN,Boxing at the 1952 Summer Olympics - Light Heavyweight,3,Harri Siljander
URS,athletics at the 1952 Summer Olympics - Women's Discus Throw,2,Yelisaveta Bagriantseva
WGE,Shooting at the 1976 Summer Olympics - 50m Rifle Three Positions,3,Werner Seibold
FIN,Gymnastics at the 1932 Summer Olympics - Men's parallel bars,3,Heikki Savolainen
JPN,Figure Skating at the 1992 Winter Olympics - Women's Singles,2,Midori Ito
URS,Cross-Country Skiing at the 1956 Winter Olympics - Men's 30km,3,Pavel Kolchin
GER,Shooting at the1996 Summer Olympics - Women's 10 metre air rifle,2,Petra Horneber
GDR,Speed Skating at the 1984 Winter Olympics - Women's 1000m,1,Karin Enke
GER,Cycling at the 1992 Summer Olympics - Women's  Individual Pursuit,1,Petra Roßner
NOR,Nordic Combined at the 1952 Winter Olympics - Individual,1,Simon Slåttvik
KOR,Wrestling at the 1976 Summer Olympics - Men's Freestyle Featherweight,1,Yang Jung-Mo
USA,Swimming at the 1992 Summer Olympics - Women's 100 metre backstroke,3,Lea Loveless
WGE,Speed Skating at the 1972 Winter Olympics - Men's 500m,1,Erhard Keller
USA,Athletics at the 1952 Summer Olympics - Men's Long Jump,2,Meredith Gourdine
BEL,Sailing at the 1960 Summer Olympics - Finn,3,Andre Nelis
URS,Athletics at the 1976 Summer Olympics - Women's 1500 metres,1,Tatyana Kazankina
AUS,Freestyle Skiing at the 2006 Winter Olympics – Women's Aerials,3,Alisa Camplin
BRA,Volleyball at the 2004 Summer Olympics - Men's Beach Volleyball,1,Emanuel Rego;Ricardo Santos
,Athletics at the 2004 Summer Olympics - Women's 1;500 metres,,Latifa Essarokh
,Taekwondo at the 2008 Summer Olympics - Men's 58 kg,,Reza Naderian
EST,Cross-country skiing at the 2002 Winter Olympics – Men's 15 kilometre classical,1,Andrus Veerpalu
USA,Speed skating at the 1992 Winter Olympics,1,Bonnie Blair
ITA,Cycling at the 1992 Summer Olympics - Men's individual road race,1,Fabio Casartelli
BRA,Volleyball at the 2000 Summer Olympics - Women's volleyball,3,Janina Conceição;Ricarda Lima;Kelly Fraga;Hélia Souza;Virna Dias;Raquel Silva;Leila Barros;Elisângela Oliveira;Karin Rodrigues;Walewska Oliveira;Erika Coimbra;Kátia Lopes
USA,Swimming at the 1972 Summer Olympics - Men's 4 x 100 metre freestyle relay,1,David Edgar;John Murphy;Jerry Heidenreich;Mark Spitz
,Football at the 2008 Summer Olympics - Women's tournament,,Charlotte Rohlin
JAM,Athletics at the 2012 Summer Olympics – Men's 4 x 100 metres relay,1,Michael Frater;Nesta Carter;Yohan Blake;Kemar Bailey-Cole;Usain Bolt
FRA,Swimming at the 2012 Summer Olympics – Men's 50 metre freestyle,1,Florent Manaudou
KOR,Boxing at the 2012 Summer Olympics – Men's lightweight,2,Han Soon Chul
JPN,Archery at the 2012 Summer Olympics – Women's team,3,Kaori Kawanaka;Ren Hayakawa;Miki Kanie
IRI,Wrestling at the 2012 Summer Olympics – Men's freestyle 84 kg,3,Ehsan Naser Lashgari
GBR,Equestrian at the 2012 Summer Olympics - Team eventing,2,Kristina Cook;Zara Phillips;Mary King;Nicola Wilson;William Fox-Pitt
HUN,Judo at the 2012 Summer Olympics – Men's 66 kg,2,Miklós Ungvári
RUS,Taekwondo at the 2012 Summer Olympics – Men's 58 kg,3,Alexey Denisenko
CUB,Weightlifting at the 2012 Summer Olympics – Men's 77 kg,3,Ivan Cambar Rodriguez
NED,Equestrian at the 2012 Summer Olympics - Individual jumping,2,Gerco Schröder
GER,Athletics at the 2012 Summer Olympics – Women's heptathlon,2,Lilli Schwarzkopf
BLR,Weightlifting at the 2012 Summer Olympics – Women's 69 kg,3,Maryna Shkermankova
USA,Swimming at the 2012 Summer Olympics – Women's marathon 10 kilometre,2,Haley Anderson
ITA,Shooting at the 2012 Summer Olympics - Men's 10m air rifle,2,Niccolò Campriani
,Athletics at the 2008 Summer Olympics - Women's 400 metres,,Anastasiya Kapachinskaya
,Football at the 1956 Summer Olympics,,Ryuzo Hiraki
,Athletics at the 2004 Summer Olympics - Women's 1;500 metres,,Mestawat Tadesse
,Football at the 2008 Summer Olympics - Women's tournament,,Madeleine Edlund
POL,Athletics at the 2008 Summer Olympics - Men's discus throw,2,Piotr Ma?achowski
CUB,Judo at the 2008 Summer Olympics - Women's 70 kg,2,Anaysi Hernández
USA,Athletics at the 1936 Summer Olympics – Men's 4x100 metre relay,1,Ralph Metcalfe;Foy Draper;Jesse Owens;Frank Wykoff
INA,Badminton at the 2008 Summer Olympics - Men's doubles,1,Hendra Setiawan;Markis Kido
AUS,Swimming at the 2008 Summer Olympics - Women's 400 metre Individual Medley,1,Stephanie Rice
FRA,Volleyball at the 2000 Summer Olympics - Men's beach volleyball,,Christian Penigaud;Jean-Philippe Jodard
BUL,Volleyball at the 1996 Summer Olympics - Men's volleyball,,Nikolay Ivanov;Petar Ouzounov;Ludmil Naydenov;Plamen Konstantinov;Ivaylo Gavrilov;Martin Stoev;Lubomir Ganev;Dimo Tonev;Nayden Naydenov;Yevgeni Ivanov;Plamen Hristov;Nikolay Jeliazkov
,Athletics at the 2004 Summer Olympics - Women's 1;500 metres,,Olga Yegorova
USA,Volleyball at the 2004 Summer Olympics - Men's Volleyball,,Clay Stanley;Reid Priddy;Ryan Millar;Brook Billings;Tom Hoff;Kevin Barnett;Riley Salmon;Lloy Ball;Gabe Gardner;Phillip Eatherton;Donald Suxho;Erik Sullivan
,Football at the 2008 Summer Olympics - Women's tournament,,Nilla Fischer
,Athletics at the 2008 Summer Olympics - Men's high jump,,Tomáš Jank?
KAZ,Wrestling at the 2012 Summer Olympics – Men's Greco-Roman 84 kg,3,Danyal Gajiyev
IRL,Boxing at the 2012 Summer Olympics – Men's light flyweight,3,Paddy Barnes
RUS,Wrestling at the 2012 Summer Olympics – Men's Greco-Roman 84 kg,1,Alan Khugaev
NZL,Rowing at the 2012 Summer Olympics – Women's coxless pair,3,Rebecca Scown;Juliette Haigh
GBR,Athletics at the 2012 Summer Olympics – Men's 5000 metres,1,Mohamed Farah
CHN,Gymnastics at the 2012 Summer Olympics- Men's Floor Exercises,1,Zou Kai
ITA,Fencing at the 2012 Summer Olympics - Women's team foil,1,Valentina Vezzali;Arianna Errigo;Ilaria Salvatori;Elisa Di Francisca
POL,Wrestling at the 2012 Summer Olympics – Men's Greco-Roman 84 kg,3,Damian Janikowski
RUS,Athletics at the 2012 Summer Olympics – Women's pole vault,3,Yelena Isinbayeva
ITA,Fencing at the 2012 Summer Olympics - Men's team sabre,3,Luigi Samele;Aldo Montano;Luigi Tarantino;Diego Occhiuzzi
BRA,Boxing at the 2012 Summer Olympics – Men's light heavyweight,3,Yamaguchi Falcão Florentino
SWE,Triathlon at the 2012 Summer Olympics - Women's Triathlon,2,Lisa Nordén
TUN,Athletics at the 2012 Summer Olympics – Women's 3000 metres steeplechase,2,Habiba Ghribi
UGA,Athletics at the 2012 Summer Olympics – Men's marathon,1,Stephen Kiprotich
ITA,Swimming at the 1988 Summer Olympics – Men's 400 metre individual medley,3,Stefano Battistelli
USA,Wrestling at the 2004 Summer Olympics - Men's Freestyle Middleweight,1,Cael Sanderson
POL,Weightlifting at the 1988 Summer olympics - Men's Middle Heavyweight  82.5-90 kg,3,Slawomir Zawada
USA,Athletics at the 2000 Summer Olympics - Women's Long Jump,3,Tatyana Kotova
HUN,Wrestling at the 2004 Summer Olympics - Men's Greco-Roman Bantamweight,1,István Majoros
USA,Ice hockey at the 2006 Winter Olympics – Women’s Team,3,Caitlin Cahow
USA,Ice hockey at the 2006 Winter Olympics – Women’s Team,3,Helen Resor
USA,Short Track Speed Skating at the 1992 Winter Olympics - Women's 3000 m relay,2,Amy Peterson
KOR,Judo at the 1996 Summer Olympics - Men's Lightweight (71kg),2,Kwak Dae-Sung
USA,Volleyball at the 1988 Summer Olympics - Women's volleyball,,
ETH,Athletics at the 2004 Summer Olympics - Men's 10;000 metres,1,Kenenisa Bekele
CUB,Boxing at the 2000 Summer Olympics Bantamweight,1,Guillermo Rigondeaux Ortiz
PER,Volleyball at the 2000 Summer Olympics - Women's volleyball,,Fiorella Aita;Milagros Moy;Janet Vasconzuelo;Milagros Camere;Diana Soto;Elena Keldibekova;Natalia Malaga;Rosa Garcia;Yulissa Zamudio;Milagros Uceda;Iris Falcón;Leyla Chihuán
AUT,Volleyball at the 2004 Summer Olympics - Men's Beach Volleyball,,Robert Nowotny;Peter Gartmayer
CHN,Volleyball at the 2004 Summer Olympics - Women's Beach Volleyball,,Fei Wang;Tian Jia
